Run Number,Ratio
473,0.0
476,0.0
477,0.0
478,0.0
479,0.0
480,0.0
481,0.0
484,0.0
486,0.0
487,0.0
488,0.0
489,0.0
490,0.0
491,0.0
492,0.0
493,0.0
494,0.0
495,0.0
496,0.0
497,0.0
498,0.0
499,0.0
500,0.0
501,0.0
502,0.0
503,0.0
504,0.0
505,0.0
506,0.0
507,0.0
508,0.0
801,0.0
815,0.0
892,0.0
893,0.0
894,0.0
895,0.0
896,0.0
898,0.0
899,0.0
900,0.0
901,0.0
903,0.0
904,0.0
905,0.0
906,0.0
908,0.0
909,0.0
910,0.0
911,0.0
913,0.0
914,0.0
915,0.0
916,0.0
918,0.0
919,0.0
920,0.0
921,0.0
923,0.0
935,0.0
936,0.0
937,0.0
938,0.0
939,0.0
940,0.0
942,0.0
943,0.0
944,0.0
945,0.0
947,0.0
948,0.0
949,0.0
950,0.0
952,0.0
953,0.0
954,0.0
955,0.0
957,0.0
958,0.0
959,0.0
960,0.0
961,0.0
962,0.0
964,0.0
965,0.0
966,0.0
967,0.0
969,0.0
970,0.0
971,0.0
972,0.0
974,0.0
975,0.0
976,0.0
977,0.0
979,0.0
980,0.001
981,0.0
1125,0.0
1126,0.0
1128,0.0
1129,0.0
1130,0.0
1131,0.0
1132,0.0
1133,0.0
1134,0.0
1135,0.0
1136,0.0
1138,0.0
1141,0.0
1142,0.0
1143,0.0
1144,0.0
1145,0.0
1146,0.0
1148,0.0
1149,0.0
1150,0.0
1151,0.0
1153,0.0
1154,0.0
1155,0.0
1156,0.0
1158,0.0
1159,0.0
1160,0.0
1161,0.0
1163,0.0
1164,0.0
1165,0.0
1166,0.0
1168,0.0
1169,0.0
1170,0.0
1171,0.0
1173,0.0
1174,0.0
1175,0.0
1176,0.0
1178,0.0
1179,0.0
1180,0.0
1181,0.0
1183,0.0
1184,0.0
1185,0.0
1186,0.0
1188,0.0
1189,0.0
1190,0.0
1191,0.0
1193,0.0
1194,0.0
1195,0.0
1196,0.0
1197,0.0
1198,0.0
1200,0.0
1201,0.0
1202,0.0
1203,0.0
1205,0.0
1206,0.0
1207,0.0
1208,0.0
1210,0.0
1211,0.0
1212,0.0
1213,0.0
1215,0.0
1216,0.0
1217,0.0
1218,0.0
1220,0.0
1221,0.0
1222,0.0
1223,0.0
1225,0.0
1226,0.0
1227,0.0
1228,0.0
1229,0.0
1231,0.0
1232,0.0
1233,0.0
1237,0.0
1238,0.0
1239,0.0
1240,0.0
1241,0.0
1243,0.0
1244,0.0
1245,0.0
1246,0.0
1248,0.001
1249,0.0
1250,0.0
1251,0.0
1253,0.001
1254,0.0
1255,0.0
1256,0.0
1257,0.0
1258,0.0
1259,0.0
1260,0.0
1263,0.0
1264,0.0
1265,0.0
1267,0.0
1268,0.0
1269,0.0
1270,0.0
1272,0.0
1273,0.0
1274,0.0
1275,0.0
1277,0.0
1278,0.0
1279,0.0
1280,0.0
1282,0.0
1283,0.0
1284,0.0
1285,0.0
1287,0.0
1288,0.0
1289,0.0
1290,0.0
1292,0.0
1293,0.0
1294,0.0
1295,0.0
1308,0.0
1312,0.0
1313,0.0
1322,0.0
1330,0.0
1331,0.0
1332,0.0
1333,0.0
1334,0.0
1335,0.0
1337,0.0
1338,0.0
1339,0.0
1340,0.0
1341,0.0
1342,0.0
1344,0.0
1345,0.0
1346,0.0
1347,0.0
1349,0.0
1350,0.0
1351,0.0
1352,0.0
1354,0.0
1355,0.0
1356,0.0
1357,0.0
1359,0.0
1360,0.0
1361,0.0
1362,0.0
1364,0.0
1365,0.0
1366,0.0
1367,0.0
1369,0.0
1370,0.0
1371,0.0
1372,0.0
1374,0.0
1375,0.0
1376,0.0
1377,0.0
1379,0.0
1380,0.0
1381,0.0
1382,0.0
1384,0.0
1385,0.0
1387,0.0
1389,0.0
1390,0.0
1391,0.0
1392,0.0
1394,0.0
1395,0.0
1396,0.0
1397,0.0
1399,0.0
1400,0.0
1401,0.0
1402,0.0
1404,0.0
1405,0.0
1406,0.0
1407,0.0
1413,0.0
1414,0.0
1416,0.0
1417,0.0
1418,0.0
1419,0.0
1421,0.0
1422,0.0
1423,0.0
1424,0.0
1426,0.0
1427,0.0
1428,0.0
