Run Number,Ratio
3421,0.0
3422,0.0
3423,0.0
3424,0.0
3426,0.0
3427,0.0
3428,0.0
3517,0.0
3788,0.0
3844,0.023
3845,0.0
3846,0.0
3847,0.0
3848,0.007
3849,0.0
3850,0.012
3851,0.0
3852,0.0
3853,0.0
3854,0.0
3857,0.0
3858,0.0
3859,0.0
3860,0.0
3881,0.0
3882,0.0
3883,0.0
3884,0.0
3885,0.0
3886,0.0
3887,0.0
3888,0.0
3889,0.0
3890,0.0
3891,0.0
3916,0.0
3917,0.0
3918,0.0
3919,0.0
3920,0.0
3921,0.0
3922,0.0
3923,0.0
3924,0.0
3925,0.0
3926,0.0
3927,0.0
3928,0.0
3929,0.0
3930,0.0
3931,0.0
3932,0.0
3933,0.0
3934,0.0
3935,0.0
3936,0.0
3937,0.0
3938,0.0
3939,0.0
3940,0.0
3941,0.0
3942,0.0
3943,0.0
3944,0.0
3945,0.0
3946,0.0
3947,0.0
3948,0.0
3949,0.0
3950,0.0
3951,0.0
3952,0.0
3953,0.0
3954,0.0
3955,0.0
3956,0.0
3957,0.0
3958,0.0
3959,0.0
3960,0.0
3961,0.0
3962,0.0
3963,0.0
3964,0.0
3965,0.0
3966,0.0
3967,0.0
3968,0.0
3969,0.0
3970,0.0
3971,0.0
3972,0.0
3973,0.0
3974,0.0
3975,0.002
4009,0.0
4010,0.0
4011,0.0
4012,0.0
4013,0.0
4014,0.0
4015,0.0
4016,0.0
4017,0.0
4018,0.0
4019,0.0
4020,0.0
4021,0.0
4022,0.0
4023,0.0
4024,0.0
4025,0.0
4026,0.0
4027,0.0
4028,0.0
4029,0.0
4030,0.0
4031,0.0
4032,0.0
4033,0.0
4034,0.0
4035,0.0
4036,0.0
4037,0.0
4038,0.0
4039,0.0
4040,0.0
4041,0.0
4042,0.0
4043,0.0
4044,0.0
4045,0.0
4046,0.0
4047,0.0
4048,0.0
4049,0.0
4050,0.0
4051,0.0
4052,0.0
4053,0.0
4054,0.0
4055,0.0
4056,0.0
4057,0.0
4058,0.0
4059,0.0
4060,0.0
4061,0.0
4062,0.0
4063,0.0
4064,0.0
4065,0.0
4066,0.0
4067,0.0
4068,0.0
4069,0.0
4070,0.0
4071,0.0
4072,0.0
4914,0.026
4916,0.0
4917,0.0
4918,0.0
4919,0.0
4921,0.0
4922,0.0
4923,0.0
4924,0.0
4926,0.0
4927,0.0
4928,0.0
4929,0.0
4931,0.0
4932,0.0
4933,0.001
4934,0.0
4936,0.0
4937,0.0
4938,0.002
4939,0.0
4941,0.0
4942,0.0
4943,0.001
4944,0.0
4946,0.0
4947,0.0
4948,0.0
4949,0.0
4951,0.0
4952,0.0
4953,0.0
4954,0.0
4956,0.0
4957,0.0
4958,0.0
4959,0.0
7757,0.0
7758,0.0
7760,0.0
7761,0.0
7762,0.0
7763,0.0
7765,0.0
7766,0.0
7767,0.0
7768,0.0
7770,0.0
7771,0.0
7772,0.0
